Feature,Importance
Monthly Charges,0.17193428320190102
Tenure Months,0.16895136298203767
Total Charges,0.16226048843208474
Contract,0.0823940311181922
Payment Method,0.05053806278514774
Online Security,0.04918590670048419
Tech Support,0.04114920446396205
Dependents,0.03908243220500177
Online Backup,0.027786467997900105
Gender,0.027636821941234607
Internet Service,0.026640278252618436
Paperless Billing,0.025428188494258205
Partner,0.02430308086514208
Multiple Lines,0.022368199146038808
Device Protection,0.020834867867204235
Senior Citizen,0.020374802851151147
Streaming TV,0.017189611981385782
Streaming Movies,0.016678536116597142
Phone Service,0.005263372597658073
